creationTime,productSize,productColor,content
2019-06-05 11:32:58,全网通（8GB 128GB）,幻夜黑,必须差评，好评没人看，手机很好，没得说，本来买手机只在魅族和华为两个品牌，现在华为有难，作为一个中国人支持中国品牌理所当然。
2019-06-02 19:17:30,全网通（8GB 128GB）,幻夜黑,今天刚收到手机然后跟我朋友的V20对比像素没他的清晰 跟10也没得比 真的很奇怪 物流也不打电话说到了 起码打个电话啊 用一段时间看吧 其它的还好
2019-06-06 17:28:27,全网通（8GB 128GB）,幻影蓝,不适合玩什么射击类游戏  触感迟缓  适合办公用吧   用来用去就看觉好看点和内存大点了
2019-06-08 18:32:55,全网通（8GB 128GB）,幻夜黑,玩了几天拍照不错，玩了几局王者荣耀后，游戏结束结算时卡屏了，强退在开手机出现滋滋声
2019-06-02 23:25:57,全网通（8GB 128GB）,幻影蓝,唉，满心欢喜的迎接新手机，得到的却是一个连插上卡打电话的功能都无法正常使用的手机，头疼
2019-06-21 22:46:51,全网通（8GB 128GB）,幻夜黑,手机外观还可以，就是拍照功能超差，连500块的手机拍照都比这款手机清晰，宣传多么美好，现实很骨感，怀疑照相功能有问题，完全跟这个价钱不匹配，售后处理超难
2019-10-05 20:52:51,全网通（8GB 128GB）,冰岛白,标准版手机没有耳机，就只有手机充电器，华为新品，看着实在是很惊艳啊，很漂亮，使用起来很舒服，幕手感划起来不错，流畅顺滑、运行快速，内存基本够用。音效挺不错的，音乐效果真好，来电铃声操作性很强声音清晰！白天晚上照样想拍就拍，充电也很耐用，还有比华为拍摄更好的吗运行速度和快，满足我的使用要求这是华为优势啊，超长续航！
2019-06-19 21:40:49,全网通（8GB 128GB）,幻影蓝,"用了几年华为和荣耀，系统设置还是不人性化，找个手势半天没找到，还是搜索出来的，居然在系统设置 导航键里面，
应该学学魅族，设置分类一目了然，第一次用都能很快找到。
很生气，做到好用真那么难吗？
其他方面，比如质量我还是放心的，算了，反正这个给媳妇用的"
2019-06-04 14:23:39,全网通（8GB 128GB）,幻影蓝,满心欢喜新手机，收到克隆刚完毕，突现摄像头不端，一下心情荡到底。看来荣耀的品控跟华为不能比，原来一直用华为，从mate7到9，M3平板等，眼看着价位越来越高，买不起了，退而求其次，第一次是荣耀X3.第二次买荣耀，碰见这，果断退货。不过客观的说，系统显示各方面都不错。以后还会购买华为。挺国货！！！
2019-06-06 10:08:59,全网通（8GB 128GB）,幻影蓝,京东购物是快当天早上6点多下单，下午就到了！本来满心欢喜的可以使用新手机了，还是侧面电源键指纹解锁的，可指纹解锁不灵敏！手指放上都没有反应！振动都没有，偶尔可以指纹解锁
2019-06-03 14:33:54,全网通（8GB 128GB）,幻夜黑,手机用了一天体验感觉还可以从nova2换到荣耀20的冲着高清像素拍摄好买的，但是感觉也就那么回事照完照片比较发暗跟vivo27比没有人家的亮，感觉电量消耗的也特别快 ，早上六点五十上班充电百分百，到下午两点半就剩46%的电量了，还不送耳机，最主要是物流打了六遍电话才接
2019-07-12 13:24:24,全网通（8GB 128GB）,幻夜黑,"之前买的时候我没有之前评论，因为我觉得对任何东西都要有一定了解才能有资格说他的优点和不足，以下是我用一个月后的体验感受
1~我之前是用9，手感和厚度一直是我喜欢的，现在也依然能用，相比用了这个20，我拿到的第一感觉就是很厚而且重
2~拍照是这个手机的可以拿的出手的吧，相对满意
3～游戏经常出现界面停顿，游戏结束清算时，就会卡（我之所以现在过来评也是这个原因，用不到一个月这种情况不下五次了）
4~往往喜欢拍照的人都会喜欢听歌，手机外放音质还行，但这款手机的耳机孔是扁的，虽然他有配套的连接线，但音质和听的效果真的非常非常差
反正我个人比较支持华为，也买了四五款了，但这款我就是失望了"
2019-06-19 22:10:01,全网通（8GB 128GB）,幻夜黑,体验了几天才来评价，本来留意红米那款很久，很想买红米k20p的，实体店摸了真机，觉得做工很廉价没质感，有点厚，瞬间忍痛放弃，到了华为实体店摸了荣耀20真机就决定买了，物流很快，半天到，颜值顺眼，做工不错，后盖精致漂亮，指纹很快，日常上网运行很流畅，~酷狗很久也不太发热，这点比小米好，音乐外放音质很一般，通话音质清晰，拍照呢的确比我以前用的苹果6s强多了，而且拍照功能多，电池算耐用，第一次跑分20万，第二次开了性能模式，31万多，反正也不玩游戏，管它呢，各方面使用都没什么问题，屏幕要开护眼模式才行，不然看久了眼睛有点想睡觉，唯一有点遗憾和可惜就是握持感，后盖没有曲面弧度，是平直，单手有点吃力，虽然有小白点可以辅助返回。总体而言还是优点多过缺点，实体店也看过魅族16s和小米9都有点不太满意，还是选了荣耀。不后悔，支持国产。
